studentnummer;selectiejaar;opleiding;instellingscode;groep;geslacht;herkomst;hoogste_vooropleiding;gem_eindcijfer_vo
516624;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;man;Nederland;Biologie;7.1
520017;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;man;Turkije;Biomedische wetenschappen bachelor;8.0
547979;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;vrouw;Marokko;Biomedische wetenschappen bachelor;6.9
550266;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;vrouw;Suriname/Antillen;Biomedische wetenschappen bachelor;7.3
600077;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;man;Suriname/Antillen;Geneeskunde bachelor;8.4
666765;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;man;overig niet-westers;Biologie;6.7
668446;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;vrouw;Nederland;Scheikunde;6.3
702805;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;man;overig niet-westers;Biomedische wetenschappen bachelor;7.8
710078;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;vrouw;Nederland;Geneeskunde bachelor;6.8
727552;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;man;Nederland;Geneeskunde bachelor;7.2
762097;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;vrouw;Nederland;Geneeskunde bachelor;6.9
782219;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;vrouw;Nederland;Biomedische wetenschappen bachelor;7.3
784944;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;vrouw;Nederland;Biomedische wetenschappen bachelor;6.7
803335;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;vrouw;Nederland;Geneeskunde bachelor;7.1
824264;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;vrouw;Nederland;Geneeskunde bachelor;7.4
824394;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;vrouw;Nederland;Geneeskunde bachelor;6.7
840408;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;vrouw;Suriname/Antillen;Geneeskunde bachelor;6.8
844799;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;vrouw;Nederland;Biologie;7.0
857499;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;man;Nederland;Biologie;6.5
903743;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;man;Nederland;Biomedische wetenschappen bachelor;7.0
908255;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;man;Nederland;Biologie;7.3
930219;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;vrouw;Nederland;Scheikunde;7.0
933998;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;vrouw;Marokko;Biomedische wetenschappen bachelor;7.1
946237;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;man;Nederland;Geneeskunde bachelor;7.2
970703;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;vrouw;Nederland;Biomedische wetenschappen bachelor;6.9
