persoonsgebonden_nummer;inschrijvingsjaar;opleidingsvorm;eerste_jaar_aan_deze_opleiding_instelling;opleidingscode_naam_opleiding;opleiding;instellingscode;geslacht;hoogste_vooropleiding_omschrijving_vooropleiding
3356089;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3364765;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3364765;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3387053;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3387053;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3446956;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3446956;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3450988;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3453451;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3453451;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3456003;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3456003;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3474747;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3474747;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3497654;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3565955;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3565955;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3574125;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;Anders
3593741;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3603309;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3605913;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;HAVO + propedeuse
3608893;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3608893;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3632257;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3632257;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3633459;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3643589;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;HAVO + propedeuse
3643589;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;HAVO + propedeuse
3644020;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3644394;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3644394;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3658364;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3658364;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3674969;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3695441;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3707737;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3707737;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3714789;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;HAVO + propedeuse
3714789;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;HAVO + propedeuse
3720380;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3720380;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3743577;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;HAVO + propedeuse
3749810;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3749810;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3777518;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3782465;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3782465;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3796813;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3813503;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3816257;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3816257;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3857121;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3877081;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3877081;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3902527;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3933987;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3940875;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3943432;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3950249;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3958885;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3960066;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;HAVO + propedeuse
