studentnummer;persoonsgebonden_nummer;selectiejaar;opleiding;instellingscode;geslacht;leeftijd;herkomst;hoogste_vooropleiding;gem_eindcijfer_vo;motivatiescore;cv_score;interview_score;totaalscore;rangorde;selectie_uitkomst
10066;10066.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.5;5.45;5.35;5.53;5.47;104;reserve
10067;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Marokko;vwo profiel cultuur & maatschappij;7.3;4.3;5.15;4.88;4.76;180;niet geselecteerd
10068;10068.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel natuur & gezondheid;6.6;6.6;4.8;6.03;5.96;60;geselecteerd
10069;10069.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;8.0;6.1;6.1;5.7;5.9;68;geselecteerd
10070;;2021;B Gezondheidswetenschappen;DEMO;vrouw;22;Turkije;vwo profiel natuur & gezondheid;7.3;5.95;3.5;4.12;4.54;205;niet geselecteerd
10071;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;hbo-propedeuse;6.0;5.1;5.9;5.03;5.22;126;niet geselecteerd
10072;10072.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;6.2;5.55;6.15;6.57;6.18;47;geselecteerd
10073;10073.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel economie & maatschappij;6.2;4.05;6.4;6.02;5.5;102;reserve
10074;10074.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel economie & maatschappij;5.7;5.2;5.5;6.4;5.86;71;geselecteerd
10075;;2021;B Gezondheidswetenschappen;DEMO;man;18;Turkije;vwo profiel natuur & techniek;7.8;2.4;3.85;2.62;2.8;328;niet geselecteerd
10076;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;7.0;3.8;5.0;3.93;4.11;247;niet geselecteerd
10077;;2021;B Gezondheidswetenschappen;DEMO;man;17;Nederland;vwo profiel natuur & gezondheid;7.4;5.2;4.95;4.15;4.62;198;niet geselecteerd
10078;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Suriname/Antillen;vwo profiel natuur & gezondheid;6.5;4.45;4.0;5.02;4.64;193;niet geselecteerd
10079;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;hbo-propedeuse;4.9;4.25;4.95;4.07;4.3;226;niet geselecteerd
10080;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Marokko;hbo-propedeuse;6.4;4.65;5.1;5.02;4.92;165;niet geselecteerd
10081;10081.0;2021;B Gezondheidswetenschappen;DEMO;man;18;overig niet-westers;vwo profiel natuur & gezondheid;7.0;8.55;8.05;8.12;8.24;1;geselecteerd
10082;;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel economie & maatschappij;6.6;4.3;5.4;4.82;4.78;176;niet geselecteerd
10083;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel cultuur & maatschappij;6.9;4.45;4.85;4.25;4.43;217;niet geselecteerd
10084;10084.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.1;5.85;6.5;5.93;6.02;54;geselecteerd
10085;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;5.8;2.85;2.9;2.87;2.87;326;niet geselecteerd
10086;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & techniek;7.2;4.5;3.4;3.87;3.97;260;niet geselecteerd
10087;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;overig niet-westers;vwo profiel cultuur & maatschappij;7.4;2.8;5.3;3.1;3.45;305;niet geselecteerd
10088;;2021;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel natuur & gezondheid;7.1;4.9;4.0;5.55;5.04;146;niet geselecteerd
10089;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & techniek;5.7;3.15;4.05;3.92;3.72;289;niet geselecteerd
10090;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;hbo-propedeuse;6.4;3.3;5.3;5.22;4.66;192;niet geselecteerd
10091;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Turkije;vwo profiel natuur & gezondheid;6.6;2.85;4.3;3.5;3.46;304;niet geselecteerd
10092;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Suriname/Antillen;vwo profiel cultuur & maatschappij;7.1;6.0;5.3;4.9;5.31;118;niet geselecteerd
10093;10093.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Suriname/Antillen;vwo profiel natuur & gezondheid;8.5;6.6;6.8;6.35;6.52;28;geselecteerd
10094;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel cultuur & maatschappij;5.9;4.9;5.2;5.02;5.02;151;niet geselecteerd
10095;;2021;B Gezondheidswetenschappen;DEMO;man;22;Nederland;vwo profiel cultuur & maatschappij;5.7;4.2;4.15;4.38;4.28;230;niet geselecteerd
10096;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.7;4.5;5.4;5.07;4.96;160;niet geselecteerd
10097;;2021;B Gezondheidswetenschappen;DEMO;man;21;Marokko;vwo profiel natuur & techniek;5.9;4.25;4.8;4.82;4.64;194;niet geselecteerd
10098;10098.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Suriname/Antillen;vwo profiel natuur & gezondheid;7.7;5.3;6.0;6.37;5.98;58;geselecteerd
10099;10099.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;westerse achtergrond;vwo profiel cultuur & maatschappij;6.9;6.9;5.75;7.02;6.73;22;geselecteerd
10100;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Marokko;vwo profiel natuur & gezondheid;6.8;3.95;4.5;3.77;3.97;261;niet geselecteerd
10101;10101.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;hbo-propedeuse;5.5;6.35;5.3;5.4;5.67;84;geselecteerd
10102;10102.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel economie & maatschappij;6.5;6.95;6.95;7.63;7.29;8;geselecteerd
10103;10103.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;7.0;4.95;6.35;5.77;5.64;87;geselecteerd
10104;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;hbo-propedeuse;6.7;3.9;3.15;3.17;3.38;307;niet geselecteerd
10105;10105.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;8.1;7.2;7.25;6.95;7.08;13;geselecteerd
10106;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;6.4;4.35;4.7;4.08;4.28;231;niet geselecteerd
10107;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;hbo-propedeuse;7.0;3.5;3.4;4.03;3.75;286;niet geselecteerd
10108;;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & gezondheid;7.7;4.45;5.25;4.87;4.82;173;niet geselecteerd
10109;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;6.8;5.6;3.75;3.82;4.34;224;niet geselecteerd
10110;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel economie & maatschappij;6.4;3.9;5.25;4.85;4.64;195;niet geselecteerd
10111;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & techniek;7.5;5.15;5.05;5.3;5.2;132;niet geselecteerd
10112;10112.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Turkije;vwo profiel natuur & gezondheid;5.8;5.15;6.3;6.05;5.83;73;geselecteerd
10113;10113.0;2021;B Gezondheidswetenschappen;DEMO;man;18;Suriname/Antillen;vwo profiel natuur & techniek;7.3;4.9;5.6;5.68;5.43;109;reserve
10114;;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel cultuur & maatschappij;6.0;5.45;4.6;5.43;5.27;124;niet geselecteerd
10115;;2021;B Gezondheidswetenschappen;DEMO;man;19;westerse achtergrond;vwo profiel natuur & gezondheid;6.9;4.25;5.0;5.4;4.97;157;niet geselecteerd
10116;10116.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;overig niet-westers;vwo profiel natuur & gezondheid;7.2;5.9;5.8;6.42;6.14;49;geselecteerd
10117;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Marokko;vwo profiel natuur & gezondheid;6.8;5.35;4.7;5.0;5.04;147;niet geselecteerd
10118;;2021;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel economie & maatschappij;6.5;3.4;4.0;2.45;3.04;320;niet geselecteerd
10119;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.0;3.5;3.65;2.95;3.26;315;niet geselecteerd
10120;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;westerse achtergrond;vwo profiel natuur & gezondheid;8.0;3.6;4.1;3.18;3.49;302;niet geselecteerd
10121;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;5.8;5.45;4.55;4.57;4.83;171;niet geselecteerd
10122;10122.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & techniek;8.1;7.2;4.8;4.98;5.61;93;geselecteerd
10123;;2021;B Gezondheidswetenschappen;DEMO;man;19;westerse achtergrond;anders;6.9;2.0;2.55;2.22;2.22;338;niet geselecteerd
10124;;2021;B Gezondheidswetenschappen;DEMO;vrouw;22;Nederland;vwo profiel cultuur & maatschappij;5.8;5.15;5.85;4.7;5.07;141;niet geselecteerd
10125;10125.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.5;5.55;5.5;5.67;5.6;95;geselecteerd
10126;10126.0;2021;B Gezondheidswetenschappen;DEMO;man;20;overig niet-westers;vwo profiel economie & maatschappij;6.5;5.8;6.5;5.97;6.02;55;geselecteerd
10127;;2021;B Gezondheidswetenschappen;DEMO;vrouw;22;westerse achtergrond;vwo profiel cultuur & maatschappij;6.3;4.95;3.45;4.62;4.49;208;niet geselecteerd
10128;;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel natuur & techniek;7.1;4.9;3.45;3.97;4.15;240;niet geselecteerd
10129;10129.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.5;4.75;5.25;5.83;5.39;111;reserve
10130;10130.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;7.4;6.9;6.15;7.13;6.86;17;geselecteerd
10131;10131.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel cultuur & maatschappij;5.9;6.75;6.05;6.37;6.42;36;geselecteerd
10132;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Turkije;vwo profiel natuur & gezondheid;6.7;5.65;4.35;5.3;5.22;127;niet geselecteerd
10133;10133.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Suriname/Antillen;vwo profiel economie & maatschappij;6.4;5.45;6.2;5.45;5.6;96;reserve
10134;10134.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.4;5.45;5.75;5.83;5.7;80;geselecteerd
10135;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel cultuur & maatschappij;7.4;4.9;3.65;4.55;4.47;212;niet geselecteerd
10136;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel cultuur & maatschappij;6.7;4.15;3.3;3.38;3.6;296;niet geselecteerd
10137;;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;overig niet-westers;vwo profiel natuur & gezondheid;7.7;4.4;3.5;3.33;3.69;292;niet geselecteerd
10138;10138.0;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & techniek;7.2;6.65;6.4;5.28;5.92;65;geselecteerd
10139;10139.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;hbo-propedeuse;6.8;6.35;5.6;5.85;5.95;63;geselecteerd
10140;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;6.7;3.0;3.85;3.3;3.32;311;niet geselecteerd
10141;10141.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;westerse achtergrond;vwo profiel economie & maatschappij;7.8;7.0;6.2;6.65;6.67;25;geselecteerd
10142;10142.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & techniek;7.7;6.25;4.2;5.55;5.49;103;reserve
10143;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.5;5.2;4.95;4.75;4.92;166;niet geselecteerd
10144;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & techniek;6.1;4.6;2.9;4.27;4.1;248;niet geselecteerd
10145;;2021;B Gezondheidswetenschappen;DEMO;man;20;Marokko;vwo profiel natuur & gezondheid;7.5;4.15;5.8;5.02;4.92;167;niet geselecteerd
10146;;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & techniek;7.6;2.5;4.65;4.03;3.7;290;niet geselecteerd
10147;10147.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;westerse achtergrond;vwo profiel natuur & techniek;7.4;6.45;6.65;6.37;6.45;35;geselecteerd
10148;;2021;B Gezondheidswetenschappen;DEMO;man;17;Nederland;vwo profiel economie & maatschappij;6.2;3.45;2.45;3.53;3.29;314;niet geselecteerd
10149;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel cultuur & maatschappij;6.5;3.85;5.55;5.12;4.82;174;niet geselecteerd
10150;;2021;B Gezondheidswetenschappen;DEMO;man;18;Suriname/Antillen;vwo profiel natuur & gezondheid;8.5;4.15;3.45;4.0;3.94;266;niet geselecteerd
10151;10151.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel cultuur & maatschappij;6.2;6.3;6.75;6.02;6.25;43;geselecteerd
10152;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;6.6;2.6;3.3;1.97;2.43;334;niet geselecteerd
10153;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.4;4.4;3.0;3.72;3.78;283;niet geselecteerd
10154;;2021;B Gezondheidswetenschappen;DEMO;vrouw;23;Nederland;hbo-propedeuse;7.4;3.8;4.8;3.72;3.96;263;niet geselecteerd
10155;10155.0;2021;B Gezondheidswetenschappen;DEMO;man;18;Suriname/Antillen;hbo-propedeuse;6.4;6.5;5.35;6.97;6.5;30;geselecteerd
10156;10156.0;2021;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel natuur & gezondheid;7.4;6.2;5.55;6.15;6.05;52;geselecteerd
10157;10157.0;2021;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel natuur & gezondheid;7.6;5.7;5.75;5.15;5.44;107;reserve
10158;;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel natuur & techniek;5.9;3.85;3.75;4.52;4.16;237;niet geselecteerd
10159;10159.0;2021;B Gezondheidswetenschappen;DEMO;anders;20;Nederland;vwo profiel natuur & gezondheid;6.7;7.4;6.45;7.1;7.06;14;geselecteerd
10160;;2021;B Gezondheidswetenschappen;DEMO;man;20;Nederland;anders;6.0;5.05;3.9;4.0;4.3;227;niet geselecteerd
10161;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;overig niet-westers;vwo profiel natuur & gezondheid;7.0;5.75;5.45;4.9;5.26;125;niet geselecteerd
10162;10162.0;2021;B Gezondheidswetenschappen;DEMO;man;19;Suriname/Antillen;vwo profiel economie & maatschappij;6.3;6.25;5.35;5.85;5.87;70;geselecteerd
