studentnummer;selectiejaar;opleiding;instellingscode;groep;geslacht;herkomst;hoogste_vooropleiding;gem_eindcijfer_vo;instroom_type
10054;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.9;direct
10055;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10056;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10057;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10058;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;7.2;direct
10059;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10060;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10061;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Turkije;vwo profiel cultuur & maatschappij;8.1;tussenjaar
10062;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10063;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10064;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;Nederland;hbo-propedeuse;6.2;switcher
10065;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10066;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10067;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10068;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;6.6;direct
10069;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;8.0;tussenjaar
10070;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10071;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10072;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;6.2;tussenjaar
10073;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;6.2;tussenjaar
10074;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;5.7;tussenjaar
10075;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10076;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10077;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10078;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10079;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10080;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10081;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;overig niet-westers;vwo profiel natuur & gezondheid;7.0;direct
10082;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10083;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10084;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.1;tussenjaar
10085;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10086;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10087;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10088;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10089;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10090;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10091;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10092;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10093;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Suriname/Antillen;vwo profiel natuur & gezondheid;8.5;direct
10094;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10095;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10096;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10097;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10098;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Suriname/Antillen;vwo profiel natuur & gezondheid;7.7;direct
10099;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;westerse achtergrond;vwo profiel cultuur & maatschappij;6.9;direct
10100;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10101;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;hbo-propedeuse;5.5;switcher
10102;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;6.5;direct
10103;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.0;direct
10104;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10105;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;8.1;direct
10106;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10107;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10108;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10109;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10110;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10111;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10112;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Turkije;vwo profiel natuur & gezondheid;5.8;tussenjaar
10113;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10114;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10115;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10116;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;overig niet-westers;vwo profiel natuur & gezondheid;7.2;tussenjaar
10117;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10118;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10119;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10120;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10121;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10122;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;8.1;direct
10123;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10124;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10125;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.5;direct
10126;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;overig niet-westers;vwo profiel economie & maatschappij;6.5;direct
10127;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10128;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10129;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.5;direct
10130;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.4;tussenjaar
10131;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;5.9;direct
10132;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10133;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10134;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.4;tussenjaar
10135;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10136;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10137;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10138;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10139;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;hbo-propedeuse;6.8;switcher
10140;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10141;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;westerse achtergrond;vwo profiel economie & maatschappij;7.8;direct
10142;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;7.7;direct
10143;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10144;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10145;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10146;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10147;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;westerse achtergrond;vwo profiel natuur & techniek;7.4;tussenjaar
10148;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10149;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10150;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10151;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;6.2;tussenjaar
10152;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10153;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10154;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10155;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;Suriname/Antillen;hbo-propedeuse;6.4;switcher
10156;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel natuur & gezondheid;7.4;tussenjaar
10157;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10158;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10159;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;anders;Nederland;vwo profiel natuur & gezondheid;6.7;tussenjaar
10160;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10161;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10162;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;Suriname/Antillen;vwo profiel economie & maatschappij;6.3;direct
10163;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10164;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10165;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10166;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10167;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;6.9;direct
10168;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10169;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10170;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;7.8;direct
10171;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10172;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10173;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;Suriname/Antillen;vwo profiel natuur & gezondheid;6.2;direct
10174;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;7.2;direct
10175;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10176;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Turkije;vwo profiel natuur & gezondheid;7.6;direct
10177;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel cultuur & maatschappij;7.2;direct
10178;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10179;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10180;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;6.8;tussenjaar
10181;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10182;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10183;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10184;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10185;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10186;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10187;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10188;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Marokko;vwo profiel cultuur & maatschappij;5.1;direct
10189;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10190;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;hbo-propedeuse;7.3;switcher
10191;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel natuur & gezondheid;7.6;tussenjaar
10192;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10193;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10194;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10195;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel cultuur & maatschappij;7.4;tussenjaar
10196;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10197;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10198;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;Nederland;vwo profiel economie & maatschappij;7.2;tussenjaar
10199;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10200;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;westerse achtergrond;vwo profiel natuur & gezondheid;7.4;direct
10201;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10202;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10203;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10204;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10205;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10206;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10207;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;Nederland;vwo profiel economie & maatschappij;7.6;tussenjaar
10208;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10209;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Turkije;vwo profiel natuur & techniek;7.4;tussenjaar
10210;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10211;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10212;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10213;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Marokko;anders;6.9;direct
10214;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10215;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10216;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10217;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10218;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;westerse achtergrond;vwo profiel economie & maatschappij;6.9;direct
10219;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel natuur & techniek;7.9;direct
10220;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10221;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10222;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10223;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10224;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.5;direct
10225;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10226;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10227;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10228;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10229;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10230;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel economie & maatschappij;6.6;tussenjaar
10231;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10232;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10233;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;7.4;direct
10234;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;overig niet-westers;vwo profiel cultuur & maatschappij;6.7;direct
10235;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10236;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10237;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10238;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10239;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10240;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;Nederland;vwo profiel cultuur & maatschappij;7.3;tussenjaar
10241;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10242;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10243;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Turkije;hbo-propedeuse;6.6;switcher
10244;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10245;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10246;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10247;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;7.6;direct
10248;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;Nederland;vwo profiel natuur & gezondheid;7.7;direct
10249;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;overig niet-westers;vwo profiel natuur & techniek;6.8;direct
10250;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10251;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10252;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10253;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10254;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10255;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10256;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;7.5;direct
10257;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.4;direct
10258;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10259;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10260;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10261;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;8.1;tussenjaar
10262;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10263;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10264;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10265;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10266;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10267;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;Nederland;hbo-propedeuse;6.8;switcher
10268;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10269;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel economie & maatschappij;7.2;direct
10270;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10271;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Turkije;vwo profiel natuur & gezondheid;7.2;direct
10272;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;6.5;direct
10273;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10274;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10275;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10276;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.3;tussenjaar
10277;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10278;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10279;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10280;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10281;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10282;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10283;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;7.5;tussenjaar
10284;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10285;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;5.9;tussenjaar
10286;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10287;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10288;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10289;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10290;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
