kandidaat_id;persoonsgebonden_nummer;selectiejaar;opleiding;instellingscode;motivatiescore;cv_score;interview_score;totaalscore;rangorde;selectie_uitkomst;groep;geslacht;herkomst;hoogste_vooropleiding;gem_eindcijfer_vo;instroom_type
10029;;2021;B Gezondheidswetenschappen;DEMO;3.5;4.8;3.87;3.94;265;niet geselecteerd;Niet gestart;;;;;
10030;;2021;B Gezondheidswetenschappen;DEMO;2.7;3.45;2.55;2.78;329;niet geselecteerd;Niet gestart;;;;;
10031;10031.0;2021;B Gezondheidswetenschappen;DEMO;6.65;4.95;5.57;5.77;78;geselecteerd;Doorgestroomd naar jaar 2;vrouw;westerse achtergrond;vwo profiel natuur & gezondheid;6.7;direct
10032;;2021;B Gezondheidswetenschappen;DEMO;4.6;4.15;4.0;4.21;234;niet geselecteerd;Niet gestart;;;;;
10033;;2021;B Gezondheidswetenschappen;DEMO;5.6;5.2;4.98;5.21;129;niet geselecteerd;Niet gestart;;;;;
10034;;2021;B Gezondheidswetenschappen;DEMO;4.3;4.15;3.82;4.03;253;niet geselecteerd;Niet gestart;;;;;
10035;;2021;B Gezondheidswetenschappen;DEMO;3.55;4.05;3.93;3.84;279;niet geselecteerd;Niet gestart;;;;;
10036;;2021;B Gezondheidswetenschappen;DEMO;3.95;4.65;4.32;4.28;229;niet geselecteerd;Niet gestart;;;;;
10037;;2021;B Gezondheidswetenschappen;DEMO;4.85;5.75;3.98;4.6;201;niet geselecteerd;Niet gestart;;;;;
10038;;2021;B Gezondheidswetenschappen;DEMO;3.15;2.8;2.93;2.97;322;niet geselecteerd;Niet gestart;;;;;
10039;;2021;B Gezondheidswetenschappen;DEMO;3.0;2.45;3.28;3.03;321;niet geselecteerd;Niet gestart;;;;;
10040;;2021;B Gezondheidswetenschappen;DEMO;4.4;4.4;5.53;4.96;158;niet geselecteerd;Niet gestart;;;;;
10041;10041.0;2021;B Gezondheidswetenschappen;DEMO;6.6;6.0;6.07;6.22;45;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;8.3;tussenjaar
10042;;2021;B Gezondheidswetenschappen;DEMO;5.6;5.05;4.9;5.14;137;niet geselecteerd;Niet gestart;;;;;
10043;;2021;B Gezondheidswetenschappen;DEMO;4.1;3.45;3.63;3.74;287;niet geselecteerd;Niet gestart;;;;;
10044;;2021;B Gezondheidswetenschappen;DEMO;4.05;5.05;4.32;4.38;221;niet geselecteerd;Niet gestart;;;;;
10045;10045.0;2021;B Gezondheidswetenschappen;DEMO;5.15;7.7;5.93;6.05;51;geselecteerd;Doorgestroomd naar jaar 2;vrouw;overig niet-westers;vwo profiel natuur & gezondheid;7.2;direct
10046;;2021;B Gezondheidswetenschappen;DEMO;4.2;4.1;4.77;4.46;214;niet geselecteerd;Niet gestart;;;;;
10047;10047.0;2021;B Gezondheidswetenschappen;DEMO;5.5;5.85;6.82;6.23;44;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;6.9;tussenjaar
10048;;2021;B Gezondheidswetenschappen;DEMO;4.9;4.75;5.08;4.96;159;niet geselecteerd;Niet gestart;;;;;
10049;;2021;B Gezondheidswetenschappen;DEMO;4.45;4.65;4.72;4.62;197;niet geselecteerd;Niet gestart;;;;;
10050;;2021;B Gezondheidswetenschappen;DEMO;3.15;3.8;3.4;3.4;306;niet geselecteerd;Niet gestart;;;;;
10051;;2021;B Gezondheidswetenschappen;DEMO;4.25;4.55;5.93;5.15;135;niet geselecteerd;Niet gestart;;;;;
10052;10052.0;2021;B Gezondheidswetenschappen;DEMO;6.25;5.05;6.9;6.34;40;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;6.9;direct
10053;;2021;B Gezondheidswetenschappen;DEMO;4.75;4.6;4.75;4.72;186;niet geselecteerd;Niet gestart;;;;;
10054;10054.0;2021;B Gezondheidswetenschappen;DEMO;6.0;5.2;5.58;5.63;90;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.9;direct
10055;;2021;B Gezondheidswetenschappen;DEMO;3.15;4.25;4.22;3.9;271;niet geselecteerd;Niet gestart;;;;;
10056;10056.0;2021;B Gezondheidswetenschappen;DEMO;5.7;4.95;5.52;5.46;105;reserve;Niet gestart;;;;;
10057;;2021;B Gezondheidswetenschappen;DEMO;5.0;5.4;5.38;5.27;123;niet geselecteerd;Niet gestart;;;;;
10058;10058.0;2021;B Gezondheidswetenschappen;DEMO;6.75;5.75;6.42;6.38;37;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;7.2;direct
10059;;2021;B Gezondheidswetenschappen;DEMO;4.55;5.95;4.42;4.77;178;niet geselecteerd;Niet gestart;;;;;
10060;;2021;B Gezondheidswetenschappen;DEMO;3.1;3.1;2.7;2.9;324;niet geselecteerd;Niet gestart;;;;;
10061;10061.0;2021;B Gezondheidswetenschappen;DEMO;6.7;5.9;5.65;6.02;53;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Turkije;vwo profiel cultuur & maatschappij;8.1;tussenjaar
10062;;2021;B Gezondheidswetenschappen;DEMO;3.8;4.25;4.82;4.4;218;niet geselecteerd;Niet gestart;;;;;
10063;;2021;B Gezondheidswetenschappen;DEMO;3.8;3.65;4.1;3.92;267;niet geselecteerd;Niet gestart;;;;;
10064;10064.0;2021;B Gezondheidswetenschappen;DEMO;6.9;5.95;6.05;6.28;41;geselecteerd;Gestart, niet naar jaar 2;man;Nederland;hbo-propedeuse;6.2;switcher
10065;;2021;B Gezondheidswetenschappen;DEMO;4.35;4.45;4.57;4.48;210;niet geselecteerd;Niet gestart;;;;;
10066;10066.0;2021;B Gezondheidswetenschappen;DEMO;5.45;5.35;5.53;5.47;104;reserve;Niet gestart;;;;;
10067;;2021;B Gezondheidswetenschappen;DEMO;4.3;5.15;4.88;4.76;180;niet geselecteerd;Niet gestart;;;;;
10068;10068.0;2021;B Gezondheidswetenschappen;DEMO;6.6;4.8;6.03;5.96;60;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;6.6;direct
10069;10069.0;2021;B Gezondheidswetenschappen;DEMO;6.1;6.1;5.7;5.9;68;geselecteerd;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;8.0;tussenjaar
10070;;2021;B Gezondheidswetenschappen;DEMO;5.95;3.5;4.12;4.54;205;niet geselecteerd;Niet gestart;;;;;
10071;;2021;B Gezondheidswetenschappen;DEMO;5.1;5.9;5.03;5.22;126;niet geselecteerd;Niet gestart;;;;;
10072;10072.0;2021;B Gezondheidswetenschappen;DEMO;5.55;6.15;6.57;6.18;47;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;6.2;tussenjaar
10073;10073.0;2021;B Gezondheidswetenschappen;DEMO;4.05;6.4;6.02;5.5;102;reserve;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;6.2;tussenjaar
10074;10074.0;2021;B Gezondheidswetenschappen;DEMO;5.2;5.5;6.4;5.86;71;geselecteerd;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;5.7;tussenjaar
10075;;2021;B Gezondheidswetenschappen;DEMO;2.4;3.85;2.62;2.8;328;niet geselecteerd;Niet gestart;;;;;
10076;;2021;B Gezondheidswetenschappen;DEMO;3.8;5.0;3.93;4.11;247;niet geselecteerd;Niet gestart;;;;;
10077;;2021;B Gezondheidswetenschappen;DEMO;5.2;4.95;4.15;4.62;198;niet geselecteerd;Niet gestart;;;;;
10078;;2021;B Gezondheidswetenschappen;DEMO;4.45;4.0;5.02;4.64;193;niet geselecteerd;Niet gestart;;;;;
10079;;2021;B Gezondheidswetenschappen;DEMO;4.25;4.95;4.07;4.3;226;niet geselecteerd;Niet gestart;;;;;
10080;;2021;B Gezondheidswetenschappen;DEMO;4.65;5.1;5.02;4.92;165;niet geselecteerd;Niet gestart;;;;;
10081;10081.0;2021;B Gezondheidswetenschappen;DEMO;8.55;8.05;8.12;8.24;1;geselecteerd;Doorgestroomd naar jaar 2;man;overig niet-westers;vwo profiel natuur & gezondheid;7.0;direct
10082;;2021;B Gezondheidswetenschappen;DEMO;4.3;5.4;4.82;4.78;176;niet geselecteerd;Niet gestart;;;;;
10083;;2021;B Gezondheidswetenschappen;DEMO;4.45;4.85;4.25;4.43;217;niet geselecteerd;Niet gestart;;;;;
10084;10084.0;2021;B Gezondheidswetenschappen;DEMO;5.85;6.5;5.93;6.02;54;geselecteerd;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.1;tussenjaar
10085;;2021;B Gezondheidswetenschappen;DEMO;2.85;2.9;2.87;2.87;326;niet geselecteerd;Niet gestart;;;;;
10086;;2021;B Gezondheidswetenschappen;DEMO;4.5;3.4;3.87;3.97;260;niet geselecteerd;Niet gestart;;;;;
10087;;2021;B Gezondheidswetenschappen;DEMO;2.8;5.3;3.1;3.45;305;niet geselecteerd;Niet gestart;;;;;
10088;;2021;B Gezondheidswetenschappen;DEMO;4.9;4.0;5.55;5.04;146;niet geselecteerd;Niet gestart;;;;;
10089;;2021;B Gezondheidswetenschappen;DEMO;3.15;4.05;3.92;3.72;289;niet geselecteerd;Niet gestart;;;;;
10090;;2021;B Gezondheidswetenschappen;DEMO;3.3;5.3;5.22;4.66;192;niet geselecteerd;Niet gestart;;;;;
10091;;2021;B Gezondheidswetenschappen;DEMO;2.85;4.3;3.5;3.46;304;niet geselecteerd;Niet gestart;;;;;
10092;;2021;B Gezondheidswetenschappen;DEMO;6.0;5.3;4.9;5.31;118;niet geselecteerd;Niet gestart;;;;;
10093;10093.0;2021;B Gezondheidswetenschappen;DEMO;6.6;6.8;6.35;6.52;28;geselecteerd;Gestart, niet naar jaar 2;vrouw;Suriname/Antillen;vwo profiel natuur & gezondheid;8.5;direct
10094;;2021;B Gezondheidswetenschappen;DEMO;4.9;5.2;5.02;5.02;151;niet geselecteerd;Niet gestart;;;;;
10095;;2021;B Gezondheidswetenschappen;DEMO;4.2;4.15;4.38;4.28;230;niet geselecteerd;Niet gestart;;;;;
10096;;2021;B Gezondheidswetenschappen;DEMO;4.5;5.4;5.07;4.96;160;niet geselecteerd;Niet gestart;;;;;
10097;;2021;B Gezondheidswetenschappen;DEMO;4.25;4.8;4.82;4.64;194;niet geselecteerd;Niet gestart;;;;;
10098;10098.0;2021;B Gezondheidswetenschappen;DEMO;5.3;6.0;6.37;5.98;58;geselecteerd;Gestart, niet naar jaar 2;vrouw;Suriname/Antillen;vwo profiel natuur & gezondheid;7.7;direct
10099;10099.0;2021;B Gezondheidswetenschappen;DEMO;6.9;5.75;7.02;6.73;22;geselecteerd;Gestart, niet naar jaar 2;vrouw;westerse achtergrond;vwo profiel cultuur & maatschappij;6.9;direct
10100;;2021;B Gezondheidswetenschappen;DEMO;3.95;4.5;3.77;3.97;261;niet geselecteerd;Niet gestart;;;;;
10101;10101.0;2021;B Gezondheidswetenschappen;DEMO;6.35;5.3;5.4;5.67;84;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;hbo-propedeuse;5.5;switcher
10102;10102.0;2021;B Gezondheidswetenschappen;DEMO;6.95;6.95;7.63;7.29;8;geselecteerd;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;6.5;direct
10103;10103.0;2021;B Gezondheidswetenschappen;DEMO;4.95;6.35;5.77;5.64;87;geselecteerd;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.0;direct
10104;;2021;B Gezondheidswetenschappen;DEMO;3.9;3.15;3.17;3.38;307;niet geselecteerd;Niet gestart;;;;;
10105;10105.0;2021;B Gezondheidswetenschappen;DEMO;7.2;7.25;6.95;7.08;13;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;8.1;direct
10106;;2021;B Gezondheidswetenschappen;DEMO;4.35;4.7;4.08;4.28;231;niet geselecteerd;Niet gestart;;;;;
10107;;2021;B Gezondheidswetenschappen;DEMO;3.5;3.4;4.03;3.75;286;niet geselecteerd;Niet gestart;;;;;
10108;;2021;B Gezondheidswetenschappen;DEMO;4.45;5.25;4.87;4.82;173;niet geselecteerd;Niet gestart;;;;;
10109;;2021;B Gezondheidswetenschappen;DEMO;5.6;3.75;3.82;4.34;224;niet geselecteerd;Niet gestart;;;;;
10110;;2021;B Gezondheidswetenschappen;DEMO;3.9;5.25;4.85;4.64;195;niet geselecteerd;Niet gestart;;;;;
10111;;2021;B Gezondheidswetenschappen;DEMO;5.15;5.05;5.3;5.2;132;niet geselecteerd;Niet gestart;;;;;
10112;10112.0;2021;B Gezondheidswetenschappen;DEMO;5.15;6.3;6.05;5.83;73;geselecteerd;Gestart, niet naar jaar 2;vrouw;Turkije;vwo profiel natuur & gezondheid;5.8;tussenjaar
10113;10113.0;2021;B Gezondheidswetenschappen;DEMO;4.9;5.6;5.68;5.43;109;reserve;Niet gestart;;;;;
10114;;2021;B Gezondheidswetenschappen;DEMO;5.45;4.6;5.43;5.27;124;niet geselecteerd;Niet gestart;;;;;
10115;;2021;B Gezondheidswetenschappen;DEMO;4.25;5.0;5.4;4.97;157;niet geselecteerd;Niet gestart;;;;;
10116;10116.0;2021;B Gezondheidswetenschappen;DEMO;5.9;5.8;6.42;6.14;49;geselecteerd;Gestart, niet naar jaar 2;vrouw;overig niet-westers;vwo profiel natuur & gezondheid;7.2;tussenjaar
10117;;2021;B Gezondheidswetenschappen;DEMO;5.35;4.7;5.0;5.04;147;niet geselecteerd;Niet gestart;;;;;
10118;;2021;B Gezondheidswetenschappen;DEMO;3.4;4.0;2.45;3.04;320;niet geselecteerd;Niet gestart;;;;;
10119;;2021;B Gezondheidswetenschappen;DEMO;3.5;3.65;2.95;3.26;315;niet geselecteerd;Niet gestart;;;;;
10120;;2021;B Gezondheidswetenschappen;DEMO;3.6;4.1;3.18;3.49;302;niet geselecteerd;Niet gestart;;;;;
10121;;2021;B Gezondheidswetenschappen;DEMO;5.45;4.55;4.57;4.83;171;niet geselecteerd;Niet gestart;;;;;
10122;10122.0;2021;B Gezondheidswetenschappen;DEMO;7.2;4.8;4.98;5.61;93;geselecteerd;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;8.1;direct
10123;;2021;B Gezondheidswetenschappen;DEMO;2.0;2.55;2.22;2.22;338;niet geselecteerd;Niet gestart;;;;;
10124;;2021;B Gezondheidswetenschappen;DEMO;5.15;5.85;4.7;5.07;141;niet geselecteerd;Niet gestart;;;;;
10125;10125.0;2021;B Gezondheidswetenschappen;DEMO;5.55;5.5;5.67;5.6;95;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.5;direct
10126;10126.0;2021;B Gezondheidswetenschappen;DEMO;5.8;6.5;5.97;6.02;55;geselecteerd;Doorgestroomd naar jaar 2;man;overig niet-westers;vwo profiel economie & maatschappij;6.5;direct
10127;;2021;B Gezondheidswetenschappen;DEMO;4.95;3.45;4.62;4.49;208;niet geselecteerd;Niet gestart;;;;;
10128;;2021;B Gezondheidswetenschappen;DEMO;4.9;3.45;3.97;4.15;240;niet geselecteerd;Niet gestart;;;;;
10129;10129.0;2021;B Gezondheidswetenschappen;DEMO;4.75;5.25;5.83;5.39;111;reserve;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.5;direct
10130;10130.0;2021;B Gezondheidswetenschappen;DEMO;6.9;6.15;7.13;6.86;17;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.4;tussenjaar
10131;10131.0;2021;B Gezondheidswetenschappen;DEMO;6.75;6.05;6.37;6.42;36;geselecteerd;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;5.9;direct
10132;;2021;B Gezondheidswetenschappen;DEMO;5.65;4.35;5.3;5.22;127;niet geselecteerd;Niet gestart;;;;;
10133;10133.0;2021;B Gezondheidswetenschappen;DEMO;5.45;6.2;5.45;5.6;96;reserve;Niet gestart;;;;;
10134;10134.0;2021;B Gezondheidswetenschappen;DEMO;5.45;5.75;5.83;5.7;80;geselecteerd;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.4;tussenjaar
10135;;2021;B Gezondheidswetenschappen;DEMO;4.9;3.65;4.55;4.47;212;niet geselecteerd;Niet gestart;;;;;
10136;;2021;B Gezondheidswetenschappen;DEMO;4.15;3.3;3.38;3.6;296;niet geselecteerd;Niet gestart;;;;;
10137;;2021;B Gezondheidswetenschappen;DEMO;4.4;3.5;3.33;3.69;292;niet geselecteerd;Niet gestart;;;;;
10138;10138.0;2021;B Gezondheidswetenschappen;DEMO;6.65;6.4;5.28;5.92;65;geselecteerd;Niet gestart;;;;;
10139;10139.0;2021;B Gezondheidswetenschappen;DEMO;6.35;5.6;5.85;5.95;63;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;hbo-propedeuse;6.8;switcher
10140;;2021;B Gezondheidswetenschappen;DEMO;3.0;3.85;3.3;3.32;311;niet geselecteerd;Niet gestart;;;;;
10141;10141.0;2021;B Gezondheidswetenschappen;DEMO;7.0;6.2;6.65;6.67;25;geselecteerd;Doorgestroomd naar jaar 2;vrouw;westerse achtergrond;vwo profiel economie & maatschappij;7.8;direct
10142;10142.0;2021;B Gezondheidswetenschappen;DEMO;6.25;4.2;5.55;5.49;103;reserve;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;7.7;direct
10143;;2021;B Gezondheidswetenschappen;DEMO;5.2;4.95;4.75;4.92;166;niet geselecteerd;Niet gestart;;;;;
10144;;2021;B Gezondheidswetenschappen;DEMO;4.6;2.9;4.27;4.1;248;niet geselecteerd;Niet gestart;;;;;
10145;;2021;B Gezondheidswetenschappen;DEMO;4.15;5.8;5.02;4.92;167;niet geselecteerd;Niet gestart;;;;;
10146;;2021;B Gezondheidswetenschappen;DEMO;2.5;4.65;4.03;3.7;290;niet geselecteerd;Niet gestart;;;;;
10147;10147.0;2021;B Gezondheidswetenschappen;DEMO;6.45;6.65;6.37;6.45;35;geselecteerd;Doorgestroomd naar jaar 2;vrouw;westerse achtergrond;vwo profiel natuur & techniek;7.4;tussenjaar
10148;;2021;B Gezondheidswetenschappen;DEMO;3.45;2.45;3.53;3.29;314;niet geselecteerd;Niet gestart;;;;;
10149;;2021;B Gezondheidswetenschappen;DEMO;3.85;5.55;5.12;4.82;174;niet geselecteerd;Niet gestart;;;;;
10150;;2021;B Gezondheidswetenschappen;DEMO;4.15;3.45;4.0;3.94;266;niet geselecteerd;Niet gestart;;;;;
10151;10151.0;2021;B Gezondheidswetenschappen;DEMO;6.3;6.75;6.02;6.25;43;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;6.2;tussenjaar
10152;;2021;B Gezondheidswetenschappen;DEMO;2.6;3.3;1.97;2.43;334;niet geselecteerd;Niet gestart;;;;;
10153;;2021;B Gezondheidswetenschappen;DEMO;4.4;3.0;3.72;3.78;283;niet geselecteerd;Niet gestart;;;;;
10154;;2021;B Gezondheidswetenschappen;DEMO;3.8;4.8;3.72;3.96;263;niet geselecteerd;Niet gestart;;;;;
10155;10155.0;2021;B Gezondheidswetenschappen;DEMO;6.5;5.35;6.97;6.5;30;geselecteerd;Gestart, niet naar jaar 2;man;Suriname/Antillen;hbo-propedeuse;6.4;switcher
10156;10156.0;2021;B Gezondheidswetenschappen;DEMO;6.2;5.55;6.15;6.05;52;geselecteerd;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel natuur & gezondheid;7.4;tussenjaar
10157;10157.0;2021;B Gezondheidswetenschappen;DEMO;5.7;5.75;5.15;5.44;107;reserve;Niet gestart;;;;;
10158;;2021;B Gezondheidswetenschappen;DEMO;3.85;3.75;4.52;4.16;237;niet geselecteerd;Niet gestart;;;;;
10159;10159.0;2021;B Gezondheidswetenschappen;DEMO;7.4;6.45;7.1;7.06;14;geselecteerd;Gestart, niet naar jaar 2;anders;Nederland;vwo profiel natuur & gezondheid;6.7;tussenjaar
10160;;2021;B Gezondheidswetenschappen;DEMO;5.05;3.9;4.0;4.3;227;niet geselecteerd;Niet gestart;;;;;
10161;;2021;B Gezondheidswetenschappen;DEMO;5.75;5.45;4.9;5.26;125;niet geselecteerd;Niet gestart;;;;;
10162;10162.0;2021;B Gezondheidswetenschappen;DEMO;6.25;5.35;5.85;5.87;70;geselecteerd;Gestart, niet naar jaar 2;man;Suriname/Antillen;vwo profiel economie & maatschappij;6.3;direct
10163;;2021;B Gezondheidswetenschappen;DEMO;3.4;4.5;4.2;4.02;255;niet geselecteerd;Niet gestart;;;;;
10164;;2021;B Gezondheidswetenschappen;DEMO;4.25;4.05;3.88;4.03;254;niet geselecteerd;Niet gestart;;;;;
10165;;2021;B Gezondheidswetenschappen;DEMO;5.6;3.25;5.47;5.07;142;niet geselecteerd;Niet gestart;;;;;
10166;;2021;B Gezondheidswetenschappen;DEMO;1.75;2.1;1.67;1.78;340;niet geselecteerd;Niet gestart;;;;;
10167;10167.0;2021;B Gezondheidswetenschappen;DEMO;4.95;5.65;6.8;6.02;56;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;6.9;direct
10168;;2021;B Gezondheidswetenschappen;DEMO;3.15;4.7;4.55;4.16;238;niet geselecteerd;Niet gestart;;;;;
10169;;2021;B Gezondheidswetenschappen;DEMO;3.6;4.95;4.1;4.12;244;niet geselecteerd;Niet gestart;;;;;
10170;10170.0;2021;B Gezondheidswetenschappen;DEMO;7.2;7.05;7.32;7.23;9;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;7.8;direct
10171;;2021;B Gezondheidswetenschappen;DEMO;5.0;5.25;5.6;5.35;116;niet geselecteerd;Niet gestart;;;;;
10172;;2021;B Gezondheidswetenschappen;DEMO;4.6;4.25;5.85;5.15;136;niet geselecteerd;Niet gestart;;;;;
10173;10173.0;2021;B Gezondheidswetenschappen;DEMO;6.6;6.3;6.07;6.28;42;geselecteerd;Gestart, niet naar jaar 2;man;Suriname/Antillen;vwo profiel natuur & gezondheid;6.2;direct
10174;10174.0;2021;B Gezondheidswetenschappen;DEMO;5.0;6.6;7.28;6.46;33;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;7.2;direct
10175;;2021;B Gezondheidswetenschappen;DEMO;4.75;4.7;3.68;4.2;236;niet geselecteerd;Niet gestart;;;;;
10176;10176.0;2021;B Gezondheidswetenschappen;DEMO;7.85;7.7;8.23;8.01;3;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Turkije;vwo profiel natuur & gezondheid;7.6;direct
10177;10177.0;2021;B Gezondheidswetenschappen;DEMO;6.15;5.0;5.97;5.83;74;geselecteerd;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel cultuur & maatschappij;7.2;direct
10178;;2021;B Gezondheidswetenschappen;DEMO;3.2;4.7;3.47;3.64;294;niet geselecteerd;Niet gestart;;;;;
10179;;2021;B Gezondheidswetenschappen;DEMO;5.05;4.9;5.17;5.08;140;niet geselecteerd;Niet gestart;;;;;
