kandidaat_id;selectiejaar;instrument;item;criterium;score
10119;2021;interview;vraag_1;inhoud;3.5
10120;2021;interview;vraag_1;inhoud;4.2
10121;2021;interview;vraag_1;inhoud;4.6
10122;2021;interview;vraag_1;inhoud;5.6
10123;2021;interview;vraag_1;inhoud;2.4
10124;2021;interview;vraag_1;inhoud;5.4
10125;2021;interview;vraag_1;inhoud;5.8
10126;2021;interview;vraag_1;inhoud;5.2
10127;2021;interview;vraag_1;inhoud;3.3
10128;2021;interview;vraag_1;inhoud;2.9
10129;2021;interview;vraag_1;inhoud;6.1
10130;2021;interview;vraag_1;inhoud;6.2
10131;2021;interview;vraag_1;inhoud;6.8
10132;2021;interview;vraag_1;inhoud;5.1
10133;2021;interview;vraag_1;inhoud;4.9
10134;2021;interview;vraag_1;inhoud;5.1
10135;2021;interview;vraag_1;inhoud;4.5
10136;2021;interview;vraag_1;inhoud;3.1
10137;2021;interview;vraag_1;inhoud;3.6
10138;2021;interview;vraag_1;inhoud;6.4
10139;2021;interview;vraag_1;inhoud;4.9
10140;2021;interview;vraag_1;inhoud;3.4
10141;2021;interview;vraag_1;inhoud;6.6
10142;2021;interview;vraag_1;inhoud;5.3
10143;2021;interview;vraag_1;inhoud;5.1
10144;2021;interview;vraag_1;inhoud;2.5
10145;2021;interview;vraag_1;inhoud;5.3
10146;2021;interview;vraag_1;inhoud;3.7
10147;2021;interview;vraag_1;inhoud;7.0
10148;2021;interview;vraag_1;inhoud;4.2
10149;2021;interview;vraag_1;inhoud;4.7
10150;2021;interview;vraag_1;inhoud;3.8
10151;2021;interview;vraag_1;inhoud;5.6
10152;2021;interview;vraag_1;inhoud;1.1
10153;2021;interview;vraag_1;inhoud;2.8
10154;2021;interview;vraag_1;inhoud;3.4
10155;2021;interview;vraag_1;inhoud;6.6
10156;2021;interview;vraag_1;inhoud;5.8
10157;2021;interview;vraag_1;inhoud;5.9
10158;2021;interview;vraag_1;inhoud;4.2
10159;2021;interview;vraag_1;inhoud;7.4
10160;2021;interview;vraag_1;inhoud;3.9
10161;2021;interview;vraag_1;inhoud;5.9
10162;2021;interview;vraag_1;inhoud;5.2
10163;2021;interview;vraag_1;inhoud;4.5
10164;2021;interview;vraag_1;inhoud;3.5
10165;2021;interview;vraag_1;inhoud;6.2
10166;2021;interview;vraag_1;inhoud;2.2
10167;2021;interview;vraag_1;inhoud;7.2
10168;2021;interview;vraag_1;inhoud;4.0
10169;2021;interview;vraag_1;inhoud;4.5
10170;2021;interview;vraag_1;inhoud;6.8
10171;2021;interview;vraag_1;inhoud;4.9
10172;2021;interview;vraag_1;inhoud;6.0
10173;2021;interview;vraag_1;inhoud;5.7
10174;2021;interview;vraag_1;inhoud;7.5
10175;2021;interview;vraag_1;inhoud;2.8
10176;2021;interview;vraag_1;inhoud;6.6
10177;2021;interview;vraag_1;inhoud;5.9
10178;2021;interview;vraag_1;inhoud;3.7
10179;2021;interview;vraag_1;inhoud;4.5
10180;2021;interview;vraag_1;inhoud;8.2
10181;2021;interview;vraag_1;inhoud;4.5
10182;2021;interview;vraag_1;inhoud;6.4
10183;2021;interview;vraag_1;inhoud;4.4
10184;2021;interview;vraag_1;inhoud;1.0
10185;2021;interview;vraag_1;inhoud;4.4
10186;2021;interview;vraag_1;inhoud;3.7
10187;2021;interview;vraag_1;inhoud;4.0
10188;2021;interview;vraag_1;inhoud;6.8
10189;2021;interview;vraag_1;inhoud;4.7
10190;2021;interview;vraag_1;inhoud;5.9
10191;2021;interview;vraag_1;inhoud;5.2
10192;2021;interview;vraag_1;inhoud;5.1
10193;2021;interview;vraag_1;inhoud;5.2
10194;2021;interview;vraag_1;inhoud;3.9
10195;2021;interview;vraag_1;inhoud;6.5
10196;2021;interview;vraag_1;inhoud;2.8
10197;2021;interview;vraag_1;inhoud;3.1
10198;2021;interview;vraag_1;inhoud;3.7
10199;2021;interview;vraag_1;inhoud;4.1
10200;2021;interview;vraag_1;inhoud;8.1
10201;2021;interview;vraag_1;inhoud;3.9
10202;2021;interview;vraag_1;inhoud;5.8
10203;2021;interview;vraag_1;inhoud;4.7
10204;2021;interview;vraag_1;inhoud;2.0
10205;2021;interview;vraag_1;inhoud;5.2
10206;2021;interview;vraag_1;inhoud;6.2
10207;2021;interview;vraag_1;inhoud;5.2
10208;2021;interview;vraag_1;inhoud;2.5
10209;2021;interview;vraag_1;inhoud;7.1
10210;2021;interview;vraag_1;inhoud;5.3
10211;2021;interview;vraag_1;inhoud;2.9
10212;2021;interview;vraag_1;inhoud;4.9
10213;2021;interview;vraag_1;inhoud;5.4
10214;2021;interview;vraag_1;inhoud;4.8
10215;2021;interview;vraag_1;inhoud;2.5
10216;2021;interview;vraag_1;inhoud;6.3
10217;2021;interview;vraag_1;inhoud;3.1
10218;2021;interview;vraag_1;inhoud;6.6
10219;2021;interview;vraag_1;inhoud;8.2
10220;2021;interview;vraag_1;inhoud;3.2
10221;2021;interview;vraag_1;inhoud;5.3
10222;2021;interview;vraag_1;inhoud;5.6
10223;2021;interview;vraag_1;inhoud;5.5
10224;2021;interview;vraag_1;inhoud;6.9
10225;2021;interview;vraag_1;inhoud;5.0
10226;2021;interview;vraag_1;inhoud;6.2
10227;2021;interview;vraag_1;inhoud;4.5
10228;2021;interview;vraag_1;inhoud;2.0
10229;2021;interview;vraag_1;inhoud;3.8
10230;2021;interview;vraag_1;inhoud;5.7
10231;2021;interview;vraag_1;inhoud;5.8
10232;2021;interview;vraag_1;inhoud;4.8
10233;2021;interview;vraag_1;inhoud;7.3
10234;2021;interview;vraag_1;inhoud;6.1
10235;2021;interview;vraag_1;inhoud;3.5
10236;2021;interview;vraag_1;inhoud;5.4
10237;2021;interview;vraag_1;inhoud;4.4
10238;2021;interview;vraag_1;inhoud;4.3
10239;2021;interview;vraag_1;inhoud;4.1
10240;2021;interview;vraag_1;inhoud;5.9
10241;2021;interview;vraag_1;inhoud;5.1
10242;2021;interview;vraag_1;inhoud;4.9
10243;2021;interview;vraag_1;inhoud;7.5
10244;2021;interview;vraag_1;inhoud;4.8
10245;2021;interview;vraag_1;inhoud;4.7
10246;2021;interview;vraag_1;inhoud;4.7
10247;2021;interview;vraag_1;inhoud;6.1
10248;2021;interview;vraag_1;inhoud;6.4
10249;2021;interview;vraag_1;inhoud;5.6
10250;2021;interview;vraag_1;inhoud;2.1
10251;2021;interview;vraag_1;inhoud;3.7
10252;2021;interview;vraag_1;inhoud;5.1
10253;2021;interview;vraag_1;inhoud;3.8
10254;2021;interview;vraag_1;inhoud;5.3
10255;2021;interview;vraag_1;inhoud;3.1
10256;2021;interview;vraag_1;inhoud;5.3
10257;2021;interview;vraag_1;inhoud;6.0
10258;2021;interview;vraag_1;inhoud;4.4
10259;2021;interview;vraag_1;inhoud;3.3
10260;2021;interview;vraag_1;inhoud;6.0
10261;2021;interview;vraag_1;inhoud;4.4
10262;2021;interview;vraag_1;inhoud;5.6
10263;2021;interview;vraag_1;inhoud;3.9
10264;2021;interview;vraag_1;inhoud;4.9
10265;2021;interview;vraag_1;inhoud;2.8
10266;2021;interview;vraag_1;inhoud;3.3
10267;2021;interview;vraag_1;inhoud;6.7
10268;2021;interview;vraag_1;inhoud;4.6
10269;2021;interview;vraag_1;inhoud;6.7
10270;2021;interview;vraag_1;inhoud;4.2
10271;2021;interview;vraag_1;inhoud;7.4
10272;2021;interview;vraag_1;inhoud;5.2
10273;2021;interview;vraag_1;inhoud;4.3
10274;2021;interview;vraag_1;inhoud;4.9
10275;2021;interview;vraag_1;inhoud;2.3
10276;2021;interview;vraag_1;inhoud;7.3
10277;2021;interview;vraag_1;inhoud;4.8
10278;2021;interview;vraag_1;inhoud;3.3
10279;2021;interview;vraag_1;inhoud;5.8
10280;2021;interview;vraag_1;inhoud;3.4
10281;2021;interview;vraag_1;inhoud;5.4
10282;2021;interview;vraag_1;inhoud;6.4
10283;2021;interview;vraag_1;inhoud;7.8
10284;2021;interview;vraag_1;inhoud;1.8
10285;2021;interview;vraag_1;inhoud;5.0
10286;2021;interview;vraag_1;inhoud;5.2
10287;2021;interview;vraag_1;inhoud;5.6
10288;2021;interview;vraag_1;inhoud;4.7
10289;2021;interview;vraag_1;inhoud;4.7
10290;2021;interview;vraag_1;inhoud;5.7
10291;2021;interview;vraag_1;inhoud;5.2
10292;2021;interview;vraag_1;inhoud;2.7
10293;2021;interview;vraag_1;inhoud;4.5
10294;2021;interview;vraag_1;inhoud;2.9
10295;2021;interview;vraag_1;inhoud;5.9
10296;2021;interview;vraag_1;inhoud;6.6
10297;2021;interview;vraag_1;inhoud;5.9
10298;2021;interview;vraag_1;inhoud;3.5
10299;2021;interview;vraag_1;inhoud;6.2
10300;2021;interview;vraag_1;inhoud;5.1
10301;2021;interview;vraag_1;inhoud;2.8
10302;2021;interview;vraag_1;inhoud;4.8
10303;2021;interview;vraag_1;inhoud;5.9
10304;2021;interview;vraag_1;inhoud;2.4
10305;2021;interview;vraag_1;inhoud;2.8
10306;2021;interview;vraag_1;inhoud;8.1
10307;2021;interview;vraag_1;inhoud;4.2
10308;2021;interview;vraag_1;inhoud;3.2
10309;2021;interview;vraag_1;inhoud;3.8
10310;2021;interview;vraag_1;inhoud;1.9
10311;2021;interview;vraag_1;inhoud;3.9
10312;2021;interview;vraag_1;inhoud;4.5
10313;2021;interview;vraag_1;inhoud;5.5
10314;2021;interview;vraag_1;inhoud;1.6
10315;2021;interview;vraag_1;inhoud;6.3
10316;2021;interview;vraag_1;inhoud;3.4
10317;2021;interview;vraag_1;inhoud;7.5
10318;2021;interview;vraag_1;inhoud;2.6
10319;2021;interview;vraag_1;inhoud;4.8
10320;2021;interview;vraag_1;inhoud;4.2
10321;2021;interview;vraag_1;inhoud;3.8
10322;2021;interview;vraag_1;inhoud;4.7
10323;2021;interview;vraag_1;inhoud;4.2
10324;2021;interview;vraag_1;inhoud;2.2
10325;2021;interview;vraag_1;inhoud;5.4
10326;2021;interview;vraag_1;inhoud;8.0
10327;2021;interview;vraag_1;inhoud;3.6
10328;2021;interview;vraag_1;inhoud;6.4
10329;2021;interview;vraag_1;inhoud;3.0
10330;2021;interview;vraag_1;inhoud;6.2
10331;2021;interview;vraag_1;inhoud;6.8
10332;2021;interview;vraag_1;inhoud;5.2
10333;2021;interview;vraag_1;inhoud;4.8
10334;2021;interview;vraag_1;inhoud;3.5
10335;2021;interview;vraag_1;inhoud;5.0
10336;2021;interview;vraag_1;inhoud;3.3
10337;2021;interview;vraag_1;inhoud;4.0
10338;2021;interview;vraag_1;inhoud;3.9
10339;2021;interview;vraag_1;inhoud;7.7
10340;2021;interview;vraag_1;inhoud;2.8
10341;2021;interview;vraag_1;inhoud;5.4
10342;2021;interview;vraag_1;inhoud;5.0
10001;2021;interview;vraag_1;presentatie;5.6
10002;2021;interview;vraag_1;presentatie;4.4
10003;2021;interview;vraag_1;presentatie;1.0
10004;2021;interview;vraag_1;presentatie;4.5
10005;2021;interview;vraag_1;presentatie;3.7
10006;2021;interview;vraag_1;presentatie;4.6
10007;2021;interview;vraag_1;presentatie;5.5
10008;2021;interview;vraag_1;presentatie;7.1
10009;2021;interview;vraag_1;presentatie;1.7
10010;2021;interview;vraag_1;presentatie;5.1
10011;2021;interview;vraag_1;presentatie;6.2
10012;2021;interview;vraag_1;presentatie;3.1
10013;2021;interview;vraag_1;presentatie;6.3
10014;2021;interview;vraag_1;presentatie;6.2
10015;2021;interview;vraag_1;presentatie;4.0
10016;2021;interview;vraag_1;presentatie;6.2
10017;2021;interview;vraag_1;presentatie;3.8
10018;2021;interview;vraag_1;presentatie;2.8
10019;2021;interview;vraag_1;presentatie;4.6
10020;2021;interview;vraag_1;presentatie;5.6
10021;2021;interview;vraag_1;presentatie;6.6
10022;2021;interview;vraag_1;presentatie;2.8
10023;2021;interview;vraag_1;presentatie;3.7
10024;2021;interview;vraag_1;presentatie;3.1
10025;2021;interview;vraag_1;presentatie;2.4
10026;2021;interview;vraag_1;presentatie;5.7
10027;2021;interview;vraag_1;presentatie;5.5
10028;2021;interview;vraag_1;presentatie;6.2
10029;2021;interview;vraag_1;presentatie;4.5
10030;2021;interview;vraag_1;presentatie;2.9
10031;2021;interview;vraag_1;presentatie;4.4
10032;2021;interview;vraag_1;presentatie;4.3
10033;2021;interview;vraag_1;presentatie;4.4
10034;2021;interview;vraag_1;presentatie;3.6
10035;2021;interview;vraag_1;presentatie;4.6
10036;2021;interview;vraag_1;presentatie;5.1
10037;2021;interview;vraag_1;presentatie;4.4
10038;2021;interview;vraag_1;presentatie;2.7
10039;2021;interview;vraag_1;presentatie;3.9
10040;2021;interview;vraag_1;presentatie;4.6
10041;2021;interview;vraag_1;presentatie;7.7
10042;2021;interview;vraag_1;presentatie;3.9
10043;2021;interview;vraag_1;presentatie;3.4
10044;2021;interview;vraag_1;presentatie;3.8
10045;2021;interview;vraag_1;presentatie;6.1
10046;2021;interview;vraag_1;presentatie;5.8
10047;2021;interview;vraag_1;presentatie;6.8
10048;2021;interview;vraag_1;presentatie;4.9
10049;2021;interview;vraag_1;presentatie;6.3
10050;2021;interview;vraag_1;presentatie;2.8
10051;2021;interview;vraag_1;presentatie;5.6
10052;2021;interview;vraag_1;presentatie;6.1
10053;2021;interview;vraag_1;presentatie;2.5
10054;2021;interview;vraag_1;presentatie;6.1
10055;2021;interview;vraag_1;presentatie;5.6
10056;2021;interview;vraag_1;presentatie;5.8
10057;2021;interview;vraag_1;presentatie;4.5
10058;2021;interview;vraag_1;presentatie;7.2
10059;2021;interview;vraag_1;presentatie;3.8
10060;2021;interview;vraag_1;presentatie;3.2
10061;2021;interview;vraag_1;presentatie;5.7
10062;2021;interview;vraag_1;presentatie;4.8
10063;2021;interview;vraag_1;presentatie;4.7
10064;2021;interview;vraag_1;presentatie;6.0
10065;2021;interview;vraag_1;presentatie;4.9
10066;2021;interview;vraag_1;presentatie;7.0
10067;2021;interview;vraag_1;presentatie;4.2
10068;2021;interview;vraag_1;presentatie;5.3
10069;2021;interview;vraag_1;presentatie;5.3
10070;2021;interview;vraag_1;presentatie;4.1
10071;2021;interview;vraag_1;presentatie;5.1
10072;2021;interview;vraag_1;presentatie;7.4
10073;2021;interview;vraag_1;presentatie;5.3
10074;2021;interview;vraag_1;presentatie;6.6
10075;2021;interview;vraag_1;presentatie;3.0
10076;2021;interview;vraag_1;presentatie;4.6
10077;2021;interview;vraag_1;presentatie;4.1
10078;2021;interview;vraag_1;presentatie;5.3
10079;2021;interview;vraag_1;presentatie;4.0
10080;2021;interview;vraag_1;presentatie;6.0
10081;2021;interview;vraag_1;presentatie;8.8
10082;2021;interview;vraag_1;presentatie;5.0
10083;2021;interview;vraag_1;presentatie;4.3
10084;2021;interview;vraag_1;presentatie;6.3
10085;2021;interview;vraag_1;presentatie;3.8
10086;2021;interview;vraag_1;presentatie;3.8
10087;2021;interview;vraag_1;presentatie;2.6
10088;2021;interview;vraag_1;presentatie;7.6
10089;2021;interview;vraag_1;presentatie;3.0
10090;2021;interview;vraag_1;presentatie;4.5
10091;2021;interview;vraag_1;presentatie;2.4
10092;2021;interview;vraag_1;presentatie;3.7
10093;2021;interview;vraag_1;presentatie;6.2
10094;2021;interview;vraag_1;presentatie;5.3
10095;2021;interview;vraag_1;presentatie;5.5
10096;2021;interview;vraag_1;presentatie;6.4
10097;2021;interview;vraag_1;presentatie;5.2
10098;2021;interview;vraag_1;presentatie;7.5
10099;2021;interview;vraag_1;presentatie;5.9
10100;2021;interview;vraag_1;presentatie;2.9
10101;2021;interview;vraag_1;presentatie;6.8
10102;2021;interview;vraag_1;presentatie;8.4
10103;2021;interview;vraag_1;presentatie;5.6
10104;2021;interview;vraag_1;presentatie;3.0
10105;2021;interview;vraag_1;presentatie;7.1
10106;2021;interview;vraag_1;presentatie;4.6
10107;2021;interview;vraag_1;presentatie;5.3
10108;2021;interview;vraag_1;presentatie;4.6
10109;2021;interview;vraag_1;presentatie;4.2
10110;2021;interview;vraag_1;presentatie;5.1
10111;2021;interview;vraag_1;presentatie;6.0
10112;2021;interview;vraag_1;presentatie;6.4
10113;2021;interview;vraag_1;presentatie;5.0
10114;2021;interview;vraag_1;presentatie;6.1
10115;2021;interview;vraag_1;presentatie;3.8
10116;2021;interview;vraag_1;presentatie;6.2
10117;2021;interview;vraag_1;presentatie;5.0
10118;2021;interview;vraag_1;presentatie;2.1
10119;2021;interview;vraag_1;presentatie;2.5
10120;2021;interview;vraag_1;presentatie;3.2
10121;2021;interview;vraag_1;presentatie;4.4
10122;2021;interview;vraag_1;presentatie;5.4
10123;2021;interview;vraag_1;presentatie;1.4
10124;2021;interview;vraag_1;presentatie;5.1
10125;2021;interview;vraag_1;presentatie;6.5
10126;2021;interview;vraag_1;presentatie;5.4
10127;2021;interview;vraag_1;presentatie;3.6
10128;2021;interview;vraag_1;presentatie;6.1
10129;2021;interview;vraag_1;presentatie;5.6
10130;2021;interview;vraag_1;presentatie;6.0
10131;2021;interview;vraag_1;presentatie;5.6
10132;2021;interview;vraag_1;presentatie;5.2
10133;2021;interview;vraag_1;presentatie;6.7
10134;2021;interview;vraag_1;presentatie;6.3
10135;2021;interview;vraag_1;presentatie;4.5
10136;2021;interview;vraag_1;presentatie;3.2
10137;2021;interview;vraag_1;presentatie;2.9
10138;2021;interview;vraag_1;presentatie;4.7
10139;2021;interview;vraag_1;presentatie;6.3
10140;2021;interview;vraag_1;presentatie;3.0
10141;2021;interview;vraag_1;presentatie;6.7
10142;2021;interview;vraag_1;presentatie;6.2
10143;2021;interview;vraag_1;presentatie;5.9
10144;2021;interview;vraag_1;presentatie;4.0
10145;2021;interview;vraag_1;presentatie;3.8
10146;2021;interview;vraag_1;presentatie;5.0
10147;2021;interview;vraag_1;presentatie;6.0
10148;2021;interview;vraag_1;presentatie;3.0
10149;2021;interview;vraag_1;presentatie;4.8
10150;2021;interview;vraag_1;presentatie;4.6
10151;2021;interview;vraag_1;presentatie;6.6
10152;2021;interview;vraag_1;presentatie;3.1
10153;2021;interview;vraag_1;presentatie;3.7
10154;2021;interview;vraag_1;presentatie;4.1
10155;2021;interview;vraag_1;presentatie;7.3
10156;2021;interview;vraag_1;presentatie;5.5
10157;2021;interview;vraag_1;presentatie;6.1
10158;2021;interview;vraag_1;presentatie;4.0
10159;2021;interview;vraag_1;presentatie;7.3
10160;2021;interview;vraag_1;presentatie;3.5
10161;2021;interview;vraag_1;presentatie;4.6
10162;2021;interview;vraag_1;presentatie;6.0
10163;2021;interview;vraag_1;presentatie;3.8
10164;2021;interview;vraag_1;presentatie;4.2
10165;2021;interview;vraag_1;presentatie;4.4
10166;2021;interview;vraag_1;presentatie;1.3
10167;2021;interview;vraag_1;presentatie;5.7
10168;2021;interview;vraag_1;presentatie;4.7
10169;2021;interview;vraag_1;presentatie;4.2
10170;2021;interview;vraag_1;presentatie;8.1
10171;2021;interview;vraag_1;presentatie;5.6
10172;2021;interview;vraag_1;presentatie;6.0
10173;2021;interview;vraag_1;presentatie;7.6
10174;2021;interview;vraag_1;presentatie;7.9
10175;2021;interview;vraag_1;presentatie;3.2
10176;2021;interview;vraag_1;presentatie;8.2
10177;2021;interview;vraag_1;presentatie;6.5
10178;2021;interview;vraag_1;presentatie;2.0
10179;2021;interview;vraag_1;presentatie;5.1
10180;2021;interview;vraag_1;presentatie;6.7
10181;2021;interview;vraag_1;presentatie;3.1
10182;2021;interview;vraag_1;presentatie;5.0
10183;2021;interview;vraag_1;presentatie;2.8
10184;2021;interview;vraag_1;presentatie;3.7
10185;2021;interview;vraag_1;presentatie;4.0
10186;2021;interview;vraag_1;presentatie;3.8
10187;2021;interview;vraag_1;presentatie;2.8
10188;2021;interview;vraag_1;presentatie;6.6
10189;2021;interview;vraag_1;presentatie;6.3
10190;2021;interview;vraag_1;presentatie;6.0
10191;2021;interview;vraag_1;presentatie;6.6
10192;2021;interview;vraag_1;presentatie;4.9
10193;2021;interview;vraag_1;presentatie;2.1
10194;2021;interview;vraag_1;presentatie;3.5
10195;2021;interview;vraag_1;presentatie;6.3
10196;2021;interview;vraag_1;presentatie;2.3
10197;2021;interview;vraag_1;presentatie;2.1
10198;2021;interview;vraag_1;presentatie;4.8
10199;2021;interview;vraag_1;presentatie;3.1
10200;2021;interview;vraag_1;presentatie;7.3
10201;2021;interview;vraag_1;presentatie;4.1
10202;2021;interview;vraag_1;presentatie;5.5
10203;2021;interview;vraag_1;presentatie;4.8
10204;2021;interview;vraag_1;presentatie;2.7
10205;2021;interview;vraag_1;presentatie;5.8
10206;2021;interview;vraag_1;presentatie;5.0
10207;2021;interview;vraag_1;presentatie;5.0
10208;2021;interview;vraag_1;presentatie;5.1
10209;2021;interview;vraag_1;presentatie;6.7
10210;2021;interview;vraag_1;presentatie;4.8
10211;2021;interview;vraag_1;presentatie;4.8
10212;2021;interview;vraag_1;presentatie;5.4
10213;2021;interview;vraag_1;presentatie;5.9
10214;2021;interview;vraag_1;presentatie;4.6
10215;2021;interview;vraag_1;presentatie;2.8
10216;2021;interview;vraag_1;presentatie;5.2
10217;2021;interview;vraag_1;presentatie;5.0
10218;2021;interview;vraag_1;presentatie;6.2
10219;2021;interview;vraag_1;presentatie;7.1
10220;2021;interview;vraag_1;presentatie;4.0
10221;2021;interview;vraag_1;presentatie;4.1
10222;2021;interview;vraag_1;presentatie;5.4
10223;2021;interview;vraag_1;presentatie;5.5
10224;2021;interview;vraag_1;presentatie;5.6
10225;2021;interview;vraag_1;presentatie;4.8
10226;2021;interview;vraag_1;presentatie;5.8
10227;2021;interview;vraag_1;presentatie;5.4
10228;2021;interview;vraag_1;presentatie;2.4
10229;2021;interview;vraag_1;presentatie;3.2
10230;2021;interview;vraag_1;presentatie;8.3
10231;2021;interview;vraag_1;presentatie;5.4
10232;2021;interview;vraag_1;presentatie;3.8
10233;2021;interview;vraag_1;presentatie;6.7
10234;2021;interview;vraag_1;presentatie;6.2
10235;2021;interview;vraag_1;presentatie;4.5
10236;2021;interview;vraag_1;presentatie;6.3
10237;2021;interview;vraag_1;presentatie;5.2
10238;2021;interview;vraag_1;presentatie;3.4
10239;2021;interview;vraag_1;presentatie;4.5
