persoonsgebonden_nummer;inschrijvingsjaar;instellingscode;actuele_instelling;opleidingscode;opleidingsvorm;opleidingsfase;maand_vanaf;code_beeindiging;eerste_jaar_aan_deze_instelling;eerste_jaar_in_het_hoger_onderwijs;eerste_jaar_aan_deze_opleiding_instelling;verblijfsjaar_hoger_onderwijs;geslacht;leeftijd_per_peildatum_1_oktober;hoogste_vooropleiding;diplomajaar_van_de_hoogste_vooropl_voor_het_ho;herkomst_indikking_volgens_cbs_definitie;gem_eindcijfer_vo_van_de_hoogste_vooropl_voor_het_ho;indicatie_actief_op_peildatum;soort_inschrijving_continu_type_ho_binnen_ho;indicatie_eerstejaars_continu_type_ho_binnen_ho;datum_inschrijving;datum_uitschrijving
10116;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;18;403;2021;5;6.7;1;1;1;20210901;0
10116;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;19;403;2021;5;6.7;1;2;2;20220901;0
10121;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;21;405;2021;7;6.1;1;1;1;20210901;20210831
10122;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;18;405;2020;1;7.1;1;1;1;20210901;20210831
10129;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;405;2019;4;7.0;1;1;1;20210901;0
10129;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;405;2021;4;7.0;1;2;2;20220901;0
10132;2021;DEMO;DEMO;99001;1;B;9;0;2021;2020;2021;1;V;18;502;2019;1;6.8;1;1;1;20210901;0
10132;2022;DEMO;DEMO;99001;1;B;9;0;2021;2018;2021;2;V;19;502;2020;1;6.8;1;2;2;20220901;0
10135;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;405;2020;7;6.6;1;1;1;20210901;0
10135;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;405;2021;7;6.6;1;2;2;20220901;0
10136;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;404;2019;1;6.7;1;1;1;20210901;20210831
10138;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;17;405;2020;2;7.1;1;1;1;20210901;0
10138;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;18;405;2019;2;7.1;1;2;2;20220901;0
10142;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;405;2021;2;6.1;1;1;1;20210901;0
10142;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;405;2020;2;6.1;1;2;2;20220901;0
10143;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;21;411;2019;1;7.6;1;1;1;20210901;0
10143;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;22;411;2020;1;7.6;1;2;2;20220901;0
10145;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;17;411;2019;1;7.1;1;1;1;20210901;0
10145;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;18;411;2021;1;7.1;1;2;2;20220901;0
10148;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;19;404;2021;1;6.5;1;1;1;20210901;0
10148;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;20;404;2019;1;6.5;1;2;2;20220901;0
10158;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;404;2019;4;6.5;1;1;1;20210901;0
10158;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;20;404;2021;4;6.5;1;2;2;20220901;0
10159;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;O;19;405;2020;3;7.8;1;1;1;20210901;20210831
10167;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;403;2019;1;6.3;1;1;1;20210901;0
10167;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;20;403;2021;1;6.3;1;2;2;20220901;0
10176;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;404;2020;1;7.4;1;1;1;20210901;20210831
10177;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;19;404;2020;1;6.7;1;1;1;20210901;20210831
10178;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;22;405;2019;1;7.3;1;1;1;20210901;0
10178;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;23;405;2020;1;7.3;1;2;2;20220901;0
10183;2021;DEMO;DEMO;99001;1;B;9;0;2021;2018;2021;1;M;18;502;2019;1;6.7;1;1;1;20210901;0
10183;2022;DEMO;DEMO;99001;1;B;9;0;2021;2019;2021;2;M;19;502;2019;1;6.7;1;2;2;20220901;0
10192;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;405;2021;1;7.2;1;1;1;20210901;0
10192;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;20;405;2019;1;7.2;1;2;2;20220901;0
10197;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;404;2020;3;5.9;1;1;1;20210901;20210831
10202;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;18;405;2020;1;7.0;1;1;1;20210901;0
10202;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;19;405;2020;1;7.0;1;2;2;20220901;0
10213;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;21;405;2019;5;7.4;1;1;1;20210901;0
10213;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;22;405;2019;5;7.4;1;2;2;20220901;0
10219;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;20;405;2020;1;6.8;1;1;1;20210901;0
10219;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;21;405;2019;1;6.8;1;2;2;20220901;0
10220;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;23;405;2021;3;7.0;1;1;1;20210901;20210831
10221;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;18;403;2019;5;6.2;1;1;1;20210901;0
10221;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;19;403;2021;5;6.2;1;2;2;20220901;0
10228;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;405;2021;1;7.7;1;1;1;20210901;20210831
10231;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;22;404;2019;3;6.1;1;1;1;20210901;20210831
10232;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;404;2020;1;6.4;1;1;1;20210901;0
10232;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;404;2020;1;6.4;1;2;2;20220901;0
10234;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;18;403;2019;1;6.9;1;1;1;20210901;20210831
10235;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;405;2021;2;5.7;1;1;1;20210901;20210831
10236;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;402;2020;3;6.3;1;1;1;20210901;0
10236;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;402;2019;3;6.3;1;2;2;20220901;0
10246;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;411;2020;1;7.3;1;1;1;20210901;20210831
10247;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;404;2020;1;6.5;1;1;1;20210901;0
10247;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;404;2020;1;6.5;1;2;2;20220901;0
10254;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;411;2020;1;7.3;1;1;1;20210901;0
10254;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;20;411;2019;1;7.3;1;2;2;20220901;0
10256;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;405;2019;7;6.9;1;1;1;20210901;20210831
10260;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;19;405;2021;1;6.3;1;1;1;20210901;20210831
10268;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;404;2021;3;7.3;1;1;1;20210901;20210831
10270;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;18;411;2020;7;6.5;1;1;1;20210901;0
10270;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;19;411;2021;7;6.5;1;2;2;20220901;0
10273;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;405;2021;1;7.3;1;1;1;20210901;20210831
10275;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;21;405;2021;1;7.1;1;1;1;20210901;20210831
10276;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;18;405;2021;2;6.9;1;1;1;20210901;20210831
10278;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;404;2021;1;5.4;1;1;1;20210901;20210831
10283;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;403;2020;1;7.1;1;1;1;20210901;20210831
10286;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;405;2019;3;8.0;1;1;1;20210901;20210831
10296;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;19;402;2019;7;4.9;1;1;1;20210901;0
10296;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;20;402;2019;7;4.9;1;2;2;20220901;0
10299;2021;DEMO;DEMO;99001;1;B;9;0;2021;2020;2021;1;V;20;502;2020;1;6.0;1;1;1;20210901;0
10299;2022;DEMO;DEMO;99001;1;B;9;0;2021;2019;2021;2;V;21;502;2020;1;6.0;1;2;2;20220901;0
10301;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;17;405;2020;5;7.1;1;1;1;20210901;0
10301;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;18;405;2019;5;7.1;1;2;2;20220901;0
10306;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;O;19;405;2020;1;6.7;1;1;1;20210901;0
10306;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;O;20;405;2021;1;6.7;1;2;2;20220901;0
10307;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;405;2021;3;7.9;1;1;1;20210901;20210831
10316;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;402;2019;7;5.7;1;1;1;20210901;0
10316;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;402;2021;7;5.7;1;2;2;20220901;0
10324;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;21;404;2021;1;7.0;1;1;1;20210901;0
10324;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;22;404;2019;1;7.0;1;2;2;20220901;0
10325;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;405;2020;1;7.7;1;1;1;20210901;0
10325;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;20;405;2021;1;7.7;1;2;2;20220901;0
10328;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;17;405;2020;5;7.6;1;1;1;20210901;0
10328;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;18;405;2021;5;7.6;1;2;2;20220901;0
10330;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;18;411;2021;1;8.0;1;1;1;20210901;0
10330;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;19;411;2020;1;8.0;1;2;2;20220901;0
10336;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;21;404;2021;7;7.3;1;1;1;20210901;0
10336;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;22;404;2020;7;7.3;1;2;2;20220901;0
10337;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;405;2019;1;7.2;1;1;1;20210901;0
10337;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;20;405;2020;1;7.2;1;2;2;20220901;0
10338;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;405;2020;2;7.6;1;1;1;20210901;20210831
10341;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;19;411;2021;1;6.4;1;1;1;20210901;20210831
10347;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;405;2019;5;6.3;1;1;1;20210901;0
10347;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;405;2020;5;6.3;1;2;2;20220901;0
10350;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;18;405;2019;1;7.0;1;1;1;20210901;20210831
10354;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;20;403;2019;3;6.7;1;1;1;20210901;0
10354;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;21;403;2021;3;6.7;1;2;2;20220901;0
10356;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;405;2021;3;7.2;1;1;1;20210901;0
10356;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;405;2020;3;7.2;1;2;2;20220901;0
10357;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;21;411;2020;1;6.5;1;1;1;20210901;20210831
10360;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;21;405;2019;3;8.0;1;1;1;20210901;0
10360;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;22;405;2019;3;8.0;1;2;2;20220901;0
10363;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;405;2019;1;6.6;1;1;1;20210901;0
10363;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;405;2021;1;6.6;1;2;2;20220901;0
10369;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;405;2019;1;7.9;1;1;1;20210901;0
10369;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;20;405;2020;1;7.9;1;2;2;20220901;0
10371;2021;DEMO;DEMO;99001;1;B;9;0;2021;2019;2021;1;M;17;502;2019;1;5.6;1;1;1;20210901;0
10371;2022;DEMO;DEMO;99001;1;B;9;0;2021;2019;2021;2;M;18;502;2019;1;5.6;1;2;2;20220901;0
10379;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;405;2020;1;7.6;1;1;1;20210901;0
10379;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;405;2021;1;7.6;1;2;2;20220901;0
10384;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;18;403;2019;1;7.2;1;1;1;20210901;20210831
10387;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;18;411;2021;5;6.4;1;1;1;20210901;20210831
10392;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;17;405;2020;1;6.5;1;1;1;20210901;0
10392;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;18;405;2019;1;6.5;1;2;2;20220901;0
10393;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;405;2019;1;7.4;1;1;1;20210901;20210831
10395;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;411;2021;3;8.2;1;1;1;20210901;0
10395;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;20;411;2021;3;8.2;1;2;2;20220901;0
10403;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;V;21;405;2021;1;7.9;1;1;1;20220901;0
10403;2023;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;2;V;22;405;2022;1;7.9;1;2;2;20230901;0
10408;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;V;22;404;2020;1;7.2;1;1;1;20220901;0
10408;2023;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;2;V;23;404;2022;1;7.2;1;2;2;20230901;0
10409;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;V;17;404;2022;3;8.3;1;1;1;20220901;20220831
10417;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;O;19;411;2020;1;7.1;1;1;1;20220901;0
10417;2023;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;2;O;20;411;2020;1;7.1;1;2;2;20230901;0
10418;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;M;17;404;2021;3;7.0;1;1;1;20220901;0
10418;2023;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;2;M;18;404;2021;3;7.0;1;2;2;20230901;0
10420;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;V;21;404;2020;2;6.0;1;1;1;20220901;0
10420;2023;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;2;V;22;404;2020;2;6.0;1;2;2;20230901;0
10422;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;V;19;403;2021;1;7.2;1;1;1;20220901;0
10422;2023;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;2;V;20;403;2020;1;7.2;1;2;2;20230901;0
10423;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;O;19;403;2022;1;7.7;1;1;1;20220901;20220831
10427;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;V;19;405;2021;5;7.4;1;1;1;20220901;0
10427;2023;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;2;V;20;405;2021;5;7.4;1;2;2;20230901;0
10433;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;V;18;405;2022;1;8.0;1;1;1;20220901;0
10433;2023;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;2;V;19;405;2020;1;8.0;1;2;2;20230901;0
10437;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;M;19;404;2022;2;8.5;1;1;1;20220901;0
10437;2023;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;2;M;20;404;2021;2;8.5;1;2;2;20230901;0
10445;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;M;21;405;2021;1;7.0;1;1;1;20220901;20220831
10450;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;V;18;405;2022;1;7.1;1;1;1;20220901;0
10450;2023;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;2;V;19;405;2021;1;7.1;1;2;2;20230901;0
10451;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;V;19;405;2021;1;7.0;1;1;1;20220901;20220831
10456;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;V;18;405;2020;1;7.5;1;1;1;20220901;0
10456;2023;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;2;V;19;405;2021;1;7.5;1;2;2;20230901;0
10457;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;M;19;404;2020;1;7.4;1;1;1;20220901;0
10457;2023;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;2;M;20;404;2022;1;7.4;1;2;2;20230901;0
10466;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;V;18;403;2020;1;7.1;1;1;1;20220901;0
10466;2023;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;2;V;19;403;2022;1;7.1;1;2;2;20230901;0
10467;2022;DEMO;DEMO;99001;1;B;9;0;2022;2022;2022;1;M;20;411;2021;1;6.2;1;1;1;20220901;20220831
